time_stamp, total time, scan point size, incremental time, search time, delete size, delete time, tree size st, tree size end, add point size, preprocess time
1696750226.41571736,0.00277091,1282,0.00010232,0.00000000,0,0.00000000,1277,1283,33,0.00373608
1696750226.51556993,0.00289394,1261,0.00007660,0.00000000,0,0.00000000,1283,1299,25,0.00522865
1696750226.61551070,0.00598363,1217,0.00030285,0.00000000,0,0.00000000,1299,1309,42,0.00290578
1696750226.71568751,0.00516852,1220,0.00017495,0.00000000,0,0.00000000,1309,1323,32,0.00376209
1696750226.81559134,0.00760723,1308,0.00053801,0.00000000,0,0.00000000,1323,1321,36,0.00148585
1696750226.91557455,0.00476523,1295,0.00018568,0.00000000,0,0.00000000,1321,1341,32,0.00217400
1696750227.01567340,0.00387822,1164,0.00012531,0.00000000,0,0.00000000,1341,1335,33,0.00331919
1696750227.11551690,0.00477228,1066,0.00035371,0.00000000,0,0.00000000,1335,1364,41,0.00336333
1696750227.21547890,0.00493858,1044,0.00023121,0.00000000,0,0.00000000,1364,1387,40,0.00353087
1696750227.31564784,0.00345502,1035,0.00026360,0.00000000,0,0.00000000,1387,1401,39,0.00532144
1696750227.41559410,0.00569136,1038,0.00055787,0.00000000,0,0.00000000,1401,1408,34,0.00264656
1696750227.51548672,0.00428317,1037,0.00036820,0.00000000,0,0.00000000,1408,1418,22,0.00394094
1696750227.61566687,0.00426686,1096,0.00032659,0.00000000,0,0.00000000,1418,1414,32,0.00313605
1696750227.71556759,0.00300194,1020,0.00018649,0.00000000,0,0.00000000,1414,1432,35,0.00461437
1696750227.81557703,0.00277967,1012,0.00046724,0.00000000,0,0.00000000,1432,1422,29,0.00394397
1696750227.91461539,0.00270605,1003,0.00015354,0.00000000,0,0.00000000,1422,1450,33,0.00177561
1696750228.01553178,0.00368936,1009,0.00071592,0.00000000,0,0.00000000,1450,1447,37,0.00259580
1696750228.11546302,0.00368603,982,0.00028576,0.00000000,0,0.00000000,1447,1439,27,0.00227159
1696750228.21565485,0.00424262,973,0.00081698,0.00000000,0,0.00000000,1439,1409,25,0.00111805
1696750228.31552911,0.00259025,968,0.00010240,0.00000000,0,0.00000000,1409,1435,31,0.00245890
1696750228.41544676,0.00134395,943,0.00006620,0.00000000,0,0.00000000,1435,1453,27,0.00238467
1696750228.51565671,0.00271097,941,0.00012578,0.00000000,0,0.00000000,1453,1461,22,0.00216862
1696750228.61553144,0.00281040,1035,0.00021397,0.00000000,0,0.00000000,1461,1478,33,0.00364413
1696750228.71542430,0.00409675,1046,0.00050696,0.00000000,0,0.00000000,1478,1453,34,0.00315079
1696750228.81571198,0.00292602,988,0.00012476,0.00000000,0,0.00000000,1453,1462,22,0.00106261
1696750228.91549301,0.00287266,953,0.00020879,0.00000000,0,0.00000000,1462,1470,31,0.00284475
1696750229.01563358,0.00324289,1010,0.00023795,0.00000000,0,0.00000000,1470,1492,32,0.00196409
1696750229.11560893,0.00227724,1024,0.00011068,0.00000000,0,0.00000000,1492,1510,34,0.00406928
1696750229.21551800,0.00291657,1055,0.00016736,0.00000000,0,0.00000000,1510,1515,32,0.00306655
1696750229.31565475,0.00203071,1079,0.00008523,0.00000000,0,0.00000000,1515,1535,35,0.00317555
1696750229.41561174,0.00470277,1078,0.00046617,0.00000000,0,0.00000000,1535,1530,28,0.00305786
1696750229.51550293,0.00494630,1045,0.00046328,0.00000000,0,0.00000000,1530,1519,28,0.00383031
1696750229.61563516,0.00533226,1068,0.00037042,0.00000000,0,0.00000000,1519,1543,36,0.00319219
1696750229.71557975,0.00302866,1062,0.00019641,0.00000000,0,0.00000000,1543,1559,32,0.00136577
1696750229.81549883,0.00318258,1094,0.00027315,0.00000000,0,0.00000000,1559,1567,21,0.00424575
1696750229.91543841,0.00481113,1040,0.00124953,0.00000000,0,0.00000000,1567,1544,30,0.00324213
1696750230.01557708,0.00502534,1111,0.00032232,0.00000000,0,0.00000000,1544,1553,27,0.00315281
1696750230.11555529,0.00314068,1115,0.00027058,0.00000000,0,0.00000000,1553,1576,32,0.00314244
1696750230.21564102,0.00450555,1094,0.00025993,0.00000000,0,0.00000000,1576,1591,22,0.00240850
1696750230.31464958,0.00417213,1144,0.00021103,0.00000000,0,0.00000000,1591,1604,23,0.00253396
1696750230.41575313,0.00230374,1118,0.00008955,0.00000000,0,0.00000000,1604,1625,27,0.00476869
1696750230.51562643,0.00338838,1129,0.00017069,0.00000000,0,0.00000000,1625,1616,30,0.00267933
1696750230.61558318,0.00382249,1183,0.00020243,0.00000000,0,0.00000000,1616,1629,28,0.00345527
1696750230.71544981,0.00394281,1163,0.00029300,0.00000000,0,0.00000000,1629,1647,36,0.00305388
1696750230.81537509,0.00373780,1161,0.00029592,0.00000000,0,0.00000000,1647,1661,40,0.00127852
1696750230.91556048,0.00308444,1125,0.00013271,0.00000000,0,0.00000000,1661,1684,31,0.00300181
1696750231.01571584,0.00248918,1127,0.00020039,0.00000000,0,0.00000000,1684,1670,33,0.00321094
1696750231.11563730,0.00308693,1094,0.00011613,0.00000000,0,0.00000000,1670,1697,35,0.00527684
1696750231.21555114,0.00288172,1113,0.00022999,0.00000000,0,0.00000000,1697,1678,32,0.00315922
1696750231.31546283,0.00341248,1092,0.00014813,0.00000000,0,0.00000000,1678,1693,18,0.00378888
1696750231.41814160,0.00434388,1063,0.00020804,0.00000000,0,0.00000000,1693,1702,19,0.00276590
1696750231.51557708,0.00283847,1068,0.00013641,0.00000000,0,0.00000000,1702,1705,12,0.00305001
1696750231.61582017,0.00330987,1078,0.00040149,0.00000000,0,0.00000000,1705,1695,18,0.00278965
1696750231.71536827,0.00278831,1064,0.00010065,0.00000000,0,0.00000000,1695,1711,20,0.00396051
1696750231.81544280,0.00367846,1073,0.00091220,0.00000000,0,0.00000000,1711,1690,25,0.00255511
1696750231.91539073,0.00261005,1062,0.00006490,0.00000000,0,0.00000000,1690,1705,16,0.00174622
1696750232.01562071,0.00294726,1047,0.00010975,0.00000000,0,0.00000000,1705,1729,24,0.00367906
1696750232.11576796,0.00265161,1095,0.00013417,0.00000000,0,0.00000000,1729,1737,26,0.00327674
1696750232.21562386,0.00139365,1077,0.00008197,0.00000000,0,0.00000000,1737,1755,35,0.00328130
1696750232.31554818,0.00390861,1128,0.00016102,0.00000000,0,0.00000000,1755,1768,29,0.00270821
1696750232.41550994,0.00158334,1097,0.00009277,0.00000000,0,0.00000000,1768,1781,29,0.00347386
1696750232.51542568,0.00153944,1044,0.00005595,0.00000000,0,0.00000000,1781,1803,32,0.00204080
1696750232.61553550,0.00362888,1041,0.00029121,0.00000000,0,0.00000000,1803,1835,40,0.00092130
1696750232.71552062,0.00358082,1056,0.00024503,0.00000000,0,0.00000000,1835,1846,35,0.00298626
1696750232.81559300,0.00133511,1017,0.00010148,0.00000000,0,0.00000000,1846,1835,34,0.00120298
1696750232.91548133,0.00211216,1021,0.00007665,0.00000000,0,0.00000000,1835,1853,26,0.00175315
1696750233.01550555,0.00387015,1025,0.00018409,0.00000000,0,0.00000000,1853,1871,23,0.00335771
1696750233.11561966,0.00280294,1051,0.00010883,0.00000000,0,0.00000000,1871,1887,23,0.00341778
1696750233.21547651,0.00144692,1029,0.00007114,0.00000000,0,0.00000000,1887,1900,25,0.00139293
1696750233.31553268,0.00195803,1059,0.00021616,0.00000000,0,0.00000000,1900,1836,32,0.00186504
1696750233.41541886,0.00339497,1079,0.00009497,0.00000000,0,0.00000000,1836,1860,29,0.00525910
1696750233.51472950,0.00149765,1047,0.00006251,0.00000000,0,0.00000000,1860,1873,19,0.00255821
1696750233.61553645,0.00256862,1048,0.00005580,0.00000000,0,0.00000000,1873,1891,24,0.00123246
1696750233.71557903,0.00159145,1050,0.00011242,0.00000000,0,0.00000000,1891,1906,35,0.00157657
1696750233.81544447,0.00328749,1024,0.00019317,0.00000000,0,0.00000000,1906,1914,23,0.00270817
1696750233.91552472,0.00417008,1081,0.00021279,0.00000000,0,0.00000000,1914,1933,27,0.00161851
1696750234.01562762,0.00317768,1034,0.00014692,0.00000000,0,0.00000000,1933,1942,22,0.00393556
1696750234.11544943,0.00487569,1070,0.00020527,0.00000000,0,0.00000000,1942,1966,28,0.00164525
1696750234.21564817,0.00509243,1038,0.00040437,0.00000000,0,0.00000000,1966,1975,24,0.00479799
1696750234.31563973,0.00256751,1022,0.00011827,0.00000000,0,0.00000000,1975,1985,28,0.00368377
1696750234.41546512,0.00172134,1043,0.00038086,0.00000000,0,0.00000000,1985,1914,28,0.00543874
1696750234.51537156,0.00213735,1059,0.00007343,0.00000000,0,0.00000000,1914,1927,24,0.00549726
1696750234.61561012,0.00248360,1047,0.00004209,0.00000000,0,0.00000000,1927,1941,15,0.00553766
1696750234.71542525,0.00251369,1016,0.00010708,0.00000000,0,0.00000000,1941,1950,25,0.00276289
1696750234.81539369,0.00341466,1056,0.00017184,0.00000000,0,0.00000000,1950,1974,31,0.00094917
1696750234.91557407,0.00481142,995,0.00040514,0.00000000,0,0.00000000,1974,1991,35,0.00137501
1696750235.01545429,0.00268717,1011,0.00007288,0.00000000,0,0.00000000,1991,2000,23,0.00241707
1696750235.11540914,0.00285470,1034,0.00028959,0.00000000,0,0.00000000,2000,2019,23,0.00180295
1696750235.21557117,0.00346392,995,0.00015831,0.00000000,0,0.00000000,1849,1872,23,0.00279597
1696750235.31547880,0.00218407,1003,0.00003495,0.00000000,0,0.00000000,1872,1888,16,0.00357239
1696750235.41539049,0.00466359,1045,0.00021005,0.00000000,0,0.00000000,1888,1908,25,0.00211154
1696750235.51555610,0.00418055,1078,0.00017463,0.00000000,0,0.00000000,1908,1927,20,0.00433370
1696750235.61549425,0.00337813,1068,0.00004887,0.00000000,0,0.00000000,1927,1935,19,0.00257094
1696750235.71557426,0.00179746,1008,0.00011986,0.00000000,0,0.00000000,1935,1958,29,0.00478824
1696750235.81553650,0.00232404,977,0.00013195,0.00000000,0,0.00000000,1958,1967,28,0.00406647
1696750235.91545725,0.00389892,1045,0.00017904,0.00000000,0,0.00000000,1967,1984,29,0.00309244
1696750236.01563883,0.00396907,1072,0.00008569,0.00000000,0,0.00000000,1984,1984,18,0.00423066
1696750236.11552262,0.00373527,984,0.00017103,0.00000000,0,0.00000000,1984,1998,26,0.00127426
1696750236.21542549,0.00121105,1036,0.00004290,0.00000000,0,0.00000000,1998,2012,18,0.00147638
1696750236.31562543,0.00455393,1003,0.00024413,0.00000000,0,0.00000000,2012,2025,27,0.00339126
1696750236.41550446,0.00244276,1028,0.00011776,0.00000000,0,0.00000000,2025,2040,25,0.00416334
1696750236.51542687,0.00335683,1031,0.00011027,0.00000000,0,0.00000000,2040,2047,21,0.00230125
1696750236.61558294,0.00261588,1045,0.00010612,0.00000000,0,0.00000000,2047,2049,21,0.00177819
1696750236.71546578,0.00529861,1053,0.00014096,0.00000000,0,0.00000000,2049,2059,26,0.00479927
1696750236.81540155,0.00348632,1074,0.00016175,0.00000000,0,0.00000000,2059,2062,30,0.00186617
1696750236.91556406,0.00291211,1076,0.00009689,0.00000000,0,0.00000000,2062,2062,26,0.00231491
1696750237.01546884,0.00169027,1107,0.00021434,0.00000000,0,0.00000000,2062,2036,33,0.00418749
1696750237.11546135,0.00315648,1091,0.00009972,0.00000000,0,0.00000000,2036,2058,29,0.00271791
1696750237.21559811,0.00288124,1054,0.00011667,0.00000000,0,0.00000000,2058,2057,27,0.00196935
1696750237.31552076,0.00507378,996,0.00022230,0.00000000,0,0.00000000,2057,2065,19,0.00326198
1696750237.41539574,0.00427967,1040,0.00012259,0.00000000,0,0.00000000,2065,2087,22,0.00136584
1696750237.51556516,0.00250933,1030,0.00032330,0.00000000,0,0.00000000,2087,2048,29,0.00249250
1696750237.61543751,0.00171137,984,0.00005974,0.00000000,0,0.00000000,2048,2058,19,0.00322384
1696750237.71540189,0.00514345,1043,0.00013202,0.00000000,0,0.00000000,2058,2075,19,0.00269559
1696750237.81561661,0.00239218,1037,0.00009469,0.00000000,0,0.00000000,2075,2082,18,0.00393279
1696750237.91548967,0.00279737,1042,0.00007436,0.00000000,0,0.00000000,2082,2096,21,0.00138918
1696750238.01617002,0.00367638,1054,0.00006116,0.00000000,0,0.00000000,2096,2103,10,0.00125335
1696750238.11554241,0.00368934,1044,0.00007895,0.00000000,0,0.00000000,2103,2113,16,0.00328825
1696750238.21546292,0.00251678,1049,0.00009093,0.00000000,0,0.00000000,2113,2124,16,0.00206886
1696750238.31539488,0.00201947,1068,0.00006111,0.00000000,0,0.00000000,2124,2120,9,0.00240980
1696750238.41543698,0.00277974,1064,0.00005436,0.00000000,0,0.00000000,2120,2132,18,0.00270267
1696750238.51543951,0.00338755,1075,0.00008772,0.00000000,0,0.00000000,2132,2148,17,0.00271527
1696750238.61539435,0.00426647,1094,0.00027636,0.00000000,0,0.00000000,2148,2123,22,0.00208844
1696750238.71551371,0.00398038,1099,0.00011741,0.00000000,0,0.00000000,2123,2133,24,0.00156786
1696750238.81547284,0.00273733,1093,0.00020525,0.00000000,0,0.00000000,2133,2138,33,0.00306623
1696750238.91536188,0.00442241,1097,0.00035947,0.00000000,0,0.00000000,2138,2147,23,0.00312857
1696750239.01551485,0.00373879,1083,0.00015528,0.00000000,0,0.00000000,2147,2164,26,0.00248722
1696750239.11543655,0.00682830,1144,0.00043554,0.00000000,0,0.00000000,2164,2189,31,0.00240154
1696750239.21533728,0.00451190,1125,0.00029805,0.00000000,0,0.00000000,2189,2197,30,0.00285173
1696750239.31549931,0.00184875,1112,0.00010101,0.00000000,0,0.00000000,2197,2212,34,0.00257656
1696750239.41542792,0.00242568,1038,0.00006465,0.00000000,0,0.00000000,2212,2218,18,0.00285096
1696750239.51535678,0.00339493,1000,0.00013691,0.00000000,0,0.00000000,2218,2214,17,0.00270731
